id1;id2;dist;edge_id
32203351;32204802;864;41933089
32203551;32204302;446;40541961
32203767;32203853;87;41506268
32203853;32203767;87;41506267
32203853;32204365;311;41506290
32203984;32204414;292;41513558
32204302;32203551;446;40541962
32204339;32204358;48;41842260
32204358;32204339;48;41842259
32204365;32203853;311;41506289
32204365;32204597;295;41513557
32204404;32204554;86;40390763
32204414;32203984;292;41513559
32204414;32204777;281;41506256
32204554;32204404;86;40390764
32204554;32204603;34;41037237
32204554;32204805;154;40541941
32204597;32204365;295;41513556
32204597;32205443;591;41513535
32204603;32204554;34;41037236
32204603;32204851;270;40541938
32204741;32204910;358;40541023
32204741;32205214;394;40541024
32204741;32205609;489;40541020
32204777;32204414;281;41506255
32204777;32204836;64;41506258
32204777;32204867;58;41506274
32204802;32203351;864;41933088
32204805;32204554;154;40541942
32204805;32204910;86;40455173
32204805;32204952;73;41513552
32204805;32205295;356;41513542
32204836;32204777;64;41506257
32204836;32205654;595;41506260
32204836;32206064;1223;41513548
32204851;32204603;270;40541937
32204851;32204973;337;40541940
32204851;32205070;237;41660802
32204867;32204777;58;41506273
32204867;32205214;186;41513563
32204867;32205291;262;41506276
32204910;32204741;358;40541022
32204910;32204805;86;40455174
32204952;32204805;73;41513553
32204973;32204851;337;40541939
32204973;32205030;364;41848785
32204973;32205494;305;40541936
32205030;32204973;364;41848784
32205030;32205041;5;41848787
32205041;32205030;5;41848786
32205041;32205671;468;41848791
32205070;32204851;237;41660801
32205214;32204741;394;40541025
32205214;32204867;186;41513562
32205214;32206095;654;40541026
32205291;32204867;262;41506275
32205291;32205673;305;41506278
32205291;32206095;529;41513527
32205295;32204805;356;41513543
32205295;32205462;99;41513544
32205295;32205534;376;41513528
32205297;32205530;263;41624149
32205297;32205775;517;41624135
32205297;32205775;420;41624148
32205443;32204597;591;41513534
32205462;32205295;99;41513545
32205462;32205568;68;40455165
32205462;32205753;431;41513546
32205494;32204973;305;40541935
32205494;32205530;22;40541920
32205511;32205673;116;40955074
32205530;32205297;263;41624150
32205530;32205494;22;40541919
32205530;32205768;182;40541922
32205534;32205295;376;41513529
32205541;32205645;194;41848775
32205550;32205668;180;41933091
32205568;32205462;68;40455166
32205568;32205992;415;41627210
32205572;32206085;369;41506288
32205590;32205755;321;41247517
32205590;32205926;336;41037247
32205609;32204741;489;40541021
32205609;32205680;61;40455182
32205645;32205541;194;41848774
32205645;32205667;70;41848778
32205645;32206005;555;41848777
32205654;32204836;595;41506259
32205654;32205673;68;41506279
32205654;32206064;417;41506262
32205667;32205645;70;41848779
32205667;32205682;237;40608759
32205667;32206156;722;40608762
32205668;32205550;180;41933090
32205668;32205677;133;40455155
32205668;32205699;119;40455154
32205671;32205041;468;41848790
32205671;32205677;8;41848789
32205673;32205291;305;41506277
32205673;32205511;116;40955073
32205673;32205654;68;41506280
32205673;32206331;469;40955076
32205677;32205668;133;40455156
32205677;32205671;8;41848788
32205680;32205609;61;40455181
32205680;32206144;394;40455198
32205682;32205667;237;40608760
32205682;32205683;6;41848782
32205683;32205682;6;41848783
32205683;32205699;30;41848780
32205696;32206159;369;40262471
32205699;32205668;119;40455153
32205699;32205683;30;41848781
32205699;32205717;15;41247520
32205717;32205699;15;41247519
32205717;32205755;359;41247522
32205717;32206496;1165;40280629
32205753;32205462;431;41513547
32205755;32205590;321;41247518
32205755;32205717;359;41247521
32205767;32206485;653;40272268
32205767;32206888;1037;40253994
32205768;32205530;182;40541921
32205775;32205297;420;41624147
32205775;32205297;517;41624136
32205775;32206486;957;41624152
32205820;32205847;189;41037240
32205820;32205936;274;40262728
32205847;32205820;189;41037241
32205847;32206075;186;41037232
32205867;32206005;127;40606765
32205926;32205590;336;41037246
32205926;32205936;8;40262729
32205930;32206144;153;40455168
32205936;32205820;274;40262727
32205936;32205926;8;40262730
32205936;32206463;372;41493334
32205962;32206158;254;41068874
32205992;32205568;415;41627211
32205992;32206205;347;41627214
32206005;32205645;555;41848776
32206005;32205867;127;40606766
32206005;32206156;135;40606767
32206064;32204836;1223;41513549
32206064;32205654;417;41506261
32206064;32206085;45;41506264
32206075;32205847;186;41037233
32206075;32207026;557;40280624
32206075;32207172;770;41037234
32206085;32205572;369;41506287
32206085;32206064;45;41506263
32206085;32206166;171;40955078
32206085;32206331;350;40955089
32206095;32205214;654;40541027
32206095;32205291;529;41513526
32206095;32206331;360;41513564
32206129;32206131;244;41506216
32206131;32206129;244;41506215
32206131;32206441;410;41493337
32206144;32205680;394;40455197
32206144;32205930;153;40455167
32206144;32206205;45;40455170
32206154;32206158;131;41068866
32206156;32205667;722;40608761
32206156;32206005;135;40606768
32206156;32206168;10;40606769
32206158;32205962;254;41068873
32206158;32206154;131;41068865
32206158;32206960;705;41068876
32206159;32205696;369;40262472
32206159;32206166;8;40262473
32206159;32206238;144;40955079
32206166;32206085;171;40955077
32206166;32206159;8;40262474
32206166;32206546;297;40262475
32206168;32206156;10;40606770
32206168;32206178;10;41538416
32206178;32206168;10;41538417
32206178;32206377;144;40607117
32206205;32205992;347;41627215
32206205;32206144;45;40455169
32206205;32206486;175;40280609
32206238;32206159;144;40955080
32206260;32206548;459;40279399
32206277;32206375;63;41829514
32206298;32206356;45;40254007
32206310;32206441;94;41493343
32206331;32205673;469;40955075
32206331;32206085;350;40955090
32206331;32206095;360;41513565
32206331;32206482;89;41513540
32206356;32206298;45;40254006
32206356;32206468;78;40262440
32206356;32206888;753;40253997
32206369;32206612;167;41506218
32206375;32206277;63;41829513
32206375;32206988;382;41829512
32206377;32206178;144;40607118
32206377;32207022;598;41627212
32206377;32207195;478;40607119
32206425;32206530;54;41656861
32206441;32206131;410;41493336
32206441;32206310;94;41493342
32206441;32206463;18;41493339
32206463;32205936;372;41493335
32206463;32206441;18;41493338
32206463;32206496;23;41493341
32206468;32206356;78;40262439
32206468;32206552;51;40632147
32206477;32206530;34;41656857
32206482;32206331;89;41513541
32206482;32206546;244;40262731
32206482;32206830;390;40262734
32206482;32207049;309;41513538
32206484;32206740;443;41656855
32206484;32206758;919;41600723
32206484;32207282;679;41600625
32206485;32205767;653;40272269
32206485;32206553;223;40272270
32206485;32206798;527;40272267
32206486;32205775;957;41624151
32206486;32206205;175;40280608
32206486;32206830;196;40280611
32206496;32205717;1165;40280628
32206496;32206463;23;41493340
32206496;32206498;29;40280631
32206498;32206496;29;40280630
32206498;32206612;238;40280633
32206498;32206613;72;41624146
32206530;32206425;54;41656860
32206530;32206477;34;41656856
32206530;32206758;131;41656863
32206536;32206684;210;41661461
32206536;32207260;530;41624144
32206546;32206166;297;40262476
32206546;32206482;244;40262732
32206546;32206886;220;40262459
32206546;32207020;265;40262463
32206548;32206260;459;40279400
32206548;32206555;13;40279401
32206548;32206969;295;40279403
32206552;32206468;51;40632146
32206552;32206696;81;40607090
32206553;32206485;223;40272271
32206555;32206548;13;40279402
32206559;32206615;447;40818936
32206559;32207159;522;40818932
32206560;32207361;494;41606172
32206612;32206369;167;41506217
32206612;32206498;238;40280632
32206612;32206917;179;40280635
