id1;id2;dist;edge_id
32427066;32427073;160;40504257
32427066;32427256;206;40504321
32427073;32427066;160;40504258
32427073;32427083;44;40504251
32427080;32427097;58;41987394
32427080;32427318;359;40955953
32427083;32427073;44;40504252
32427097;32427080;58;41987393
32427097;32427185;145;41987390
32427170;32427185;49;41987396
32427185;32427097;145;41987389
32427185;32427170;49;41987395
32427185;32427241;86;41987392
32427224;32427241;57;40631695
32427224;32427487;335;41499624
32427224;32427594;516;40631694
32427241;32427185;86;41987391
32427241;32427224;57;40631696
32427241;32427388;371;40631697
32427256;32427066;206;40504322
32427256;32427279;120;39867411
32427256;32427429;150;41566867
32427279;32427256;120;39867412
32427279;32427408;178;40504323
32427314;32427408;125;40631674
32427318;32427080;359;40955954
32427318;32427391;83;40955943
32427388;32427241;371;40631698
32427388;32427391;18;40631641
32427388;32427468;92;41139501
32427391;32427318;83;40955944
32427391;32427388;18;40631642
32427391;32427542;222;40631643
32427408;32427279;178;40504324
32427408;32427314;125;40631673
32427408;32427775;342;40504325
32427429;32427256;150;41566868
32427429;32427476;62;40530785
32427429;32427802;312;40531124
32427468;32427388;92;41139502
32427468;32427649;235;40631662
32427468;32427794;353;41139503
32427476;32427429;62;40530786
32427487;32427224;335;41499623
32427542;32427391;222;40631644
32427542;32427649;112;41873563
32427542;32427775;246;40631645
32427566;32427702;162;40631715
32427594;32427224;516;40631693
32427594;32427702;83;40631700
32427594;32427728;159;40631654
32427607;32427881;283;40631712
32427649;32427468;235;40631661
32427649;32427542;112;41873562
32427649;32427797;142;40631633
32427649;32427888;201;40631664
32427681;32427728;34;40631704
32427702;32427566;162;40631716
32427702;32427594;83;40631699
32427702;32427938;169;40631702
32427728;32427594;159;40631653
32427728;32427681;34;40631703
32427728;32427906;136;40631706
32427747;32427797;61;40631652
32427748;32427792;43;41185628
32427748;32427838;74;41186858
32427775;32427408;342;40504326
32427775;32427542;246;40631646
32427775;32427803;30;40504327
32427775;32427921;123;40531156
32427792;32427748;43;41185629
32427792;32427838;25;41185630
32427792;32427909;164;41186860
32427794;32427468;353;41139504
32427794;32427881;72;40631692
32427797;32427649;142;40631634
32427797;32427747;61;40631651
32427797;32427941;126;40631635
32427802;32427429;312;40531123
32427803;32427775;30;40504328
32427803;32427888;137;40504329
32427803;32427943;99;40531183
32427838;32427748;74;41186859
32427838;32427792;25;41185631
32427838;32428125;185;41185632
32427881;32427607;283;40631711
32427881;32427794;72;40631691
32427881;32428057;159;40631714
32427888;32427649;201;40631663
32427888;32427803;137;40504330
32427888;32427973;162;40504331
32427888;32427991;112;40531185
32427888;32427994;107;40531168
32427892;32427941;46;40631678
32427906;32427728;136;40631705
32427906;32427938;26;40435504
32427906;32428072;369;40435501
32427909;32427792;164;41186861
32427909;32428138;150;41912182
32427914;32427922;37;40435536
32427914;32427964;200;40435541
32427921;32427775;123;40531155
32427922;32427914;37;40435535
32427922;32427966;77;40435538
32427922;32427977;56;40631665
32427937;32427973;37;40631724
32427938;32427702;169;40631701
32427938;32427906;26;40435503
32427938;32427961;19;40435506
