id1;id2;dist;edge_id
31748189;31748314;340;39885930
31748314;31748189;340;39885931
31748314;31748391;466;41915552
31748391;31748314;466;41915553
31748391;31749056;288;41814176
31749056;31748391;288;41814177
31750449;31752722;997;40621277
31750618;31750669;16;39996784
31750648;31750669;23;39767092
31750669;31750618;16;39996783
31750669;31750648;23;39767093
31750669;31751608;350;39767094
31750691;31750896;75;39767052
31750896;31750691;75;39767053
31750896;31750912;175;40621251
31750896;31751049;51;39767054
31750912;31750896;175;40621252
31750999;31751049;116;39966275
31751032;31751403;107;41234732
31751049;31750896;51;39767055
31751049;31750999;116;39966274
31751049;31751305;78;40129458
31751305;31751049;78;40129459
31751305;31751403;51;40621221
31751305;31751530;61;40129460
31751351;31751424;46;39796639
31751403;31751032;107;41234733
31751403;31751305;51;40621222
31751403;31751495;63;40621223
31751424;31751351;46;39796640
31751495;31751403;63;40621224
31751505;31751706;85;40432429
31751530;31751305;61;40129461
31751530;31751790;70;40129462
31751530;31751877;223;39796391
31751608;31750669;350;39767095
31751608;31751706;39;39767032
31751706;31751505;85;40432430
31751706;31751608;39;39767033
31751706;31751877;74;39767034
31751709;31751852;49;39966269
31751763;31751950;62;40621213
31751790;31751530;70;40129463
31751790;31751931;41;40129464
31751790;31752033;186;39796393
31751852;31751709;49;39966268
31751852;31751950;80;40952257
31751852;31751953;38;40952258
31751877;31751530;223;39796390
31751877;31751706;74;39767035
31751877;31752033;74;39767036
31751931;31751790;41;40129465
31751931;31751953;9;40129466
31751931;31752113;143;39796381
31751950;31751763;62;40621214
31751950;31751852;80;40952256
31751950;31752111;52;39796375
31751953;31751852;38;40952259
31751953;31751931;9;40129467
31751953;31752416;144;40129468
31752033;31751790;186;39796392
31752033;31751877;74;39767037
31752033;31752128;49;39767038
31752111;31751950;52;39796374
31752111;31752393;85;39796377
31752111;31752439;148;39796394
31752113;31751931;143;39796380
31752113;31752128;11;39796383
31752113;31752210;41;40621225
31752128;31752033;49;39767039
31752128;31752113;11;39796382
31752128;31752185;24;39767040
31752185;31752128;24;39767041
31752185;31752210;12;39767042
31752185;31752458;99;39796384
31752210;31752113;41;40621226
31752210;31752185;12;39767043
31752210;31752347;58;39767044
31752347;31752210;58;39767045
31752347;31752416;29;39767046
31752347;31752596;86;40621249
31752393;31752111;85;39796376
31752393;31752589;77;39966264
31752393;31752683;82;39796379
31752416;31751953;144;40129469
31752416;31752347;29;39767047
31752416;31752517;40;41847926
31752439;31752111;148;39796395
31752439;31752459;13;40621229
31752458;31752185;99;39796385
31752459;31752439;13;40621230
31752517;31752416;40;41847927
31752517;31752541;7;39796386
31752517;31752683;69;41847928
31752541;31752517;7;39796387
31752541;31752688;56;39796388
31752541;31752920;130;40621219
31752589;31752393;77;39966265
31752596;31752347;86;40621250
31752635;31752926;114;40477528
31752683;31752393;82;39796378
31752683;31752517;69;41847929
31752683;31752949;119;41847930
31752688;31752541;56;39796389
31752722;31750449;997;40621278
31752767;31752965;86;40164758
31752838;31753005;67;40164763
31752869;31752949;54;39966266
31752920;31752541;130;40621220
31752926;31752635;114;40477527
31752926;31752949;23;40477530
31752926;31752982;33;40621253
31752937;31753467;159;40381475
31752949;31752683;119;41847931
31752949;31752869;54;39966267
31752949;31752926;23;40477529
31752949;31753441;136;41847932
31752960;31752937;10;40381471
31752960;31753467;158;41710935
31752965;31753322;118;40164759
31752973;31752937;134;40381474
31752973;31752960;7;40381472
31752979;31752965;9;41710931
31752979;31753398;141;41710937
31752982;31752926;33;40621254
31752998;31753544;147;39783725
31752998;31753774;207;40154504
31753005;31752838;67;40164762
31753005;31752979;14;41952379
31753061;31753067;9;41956364
31753061;31753125;32;40164764
31753061;31753158;37;40677657
31753062;31752767;152;40342149
31753062;31753088;58;40342145
31753067;31753005;32;41952380
31753067;31753061;9;41956363
31753082;31753088;31;40392235
31753088;31753122;16;41710920
31753122;31753185;22;41710921
31753122;31753198;69;40381479
31753125;31753061;32;40164765
31753125;31753189;22;41130274
31753125;31753651;197;41130286
31753147;31753495;80;39966255
31753154;31753258;39;40381487
31753158;31753171;6;40729770
31753171;31753158;6;40729771
31753171;31753277;40;40729772
31753171;31753277;72;40729774
31753185;31753067;62;40164757
31753185;31753436;68;41710919
31753189;31753125;22;41130275
31753189;31753255;16;41130276
31753189;31753338;55;40729781
31753198;31753122;69;40381478
31753198;31753258;16;40677614
31753198;31753396;77;40381481
31753221;31753483;59;39929486
31753221;31753491;73;41012217
31753233;31753322;30;41130294
31753247;31753185;24;41028129
31753247;31753436;75;40392194
31753255;31753189;16;41130277
31753255;31753325;19;41130278
31753255;31753338;71;40729777
31753258;31753154;39;40381486
31753258;31753198;16;40677613
31753258;31753452;78;40381489
31753277;31753171;72;40729775
31753277;31753171;40;40729773
31753277;31753338;16;40729778
31753299;31753247;17;41952363
31753299;31753312;23;40392191
31753309;31753537;59;39966263
31753312;31753528;87;40392192
31753312;31753608;99;40392196
31753322;31753233;30;41130293
31753322;31753398;21;40164760
31753325;31753255;19;41130279
31753325;31753401;20;41130280
31753325;31753447;50;39796614
31753325;31753447;53;41956368
31753325;31753478;60;41956358
31753338;31753189;55;40729780
31753338;31753255;71;40729776
31753338;31753277;16;40729779
31753376;31754035;193;41915550
31753396;31753198;77;40381480
31753396;31753452;16;40684483
31753396;31753591;80;40381483
31753398;31753413;5;41710932
31753401;31753325;20;41130281
31753401;31753451;119;40677608
31753401;31753451;16;41130282
31753413;31753748;105;40342150
31753419;31754885;545;40554733
31753436;31753545;39;40342147
31753436;31753708;100;40392841
31753441;31752949;136;41847933
31753441;31753495;30;40804200
31753447;31753478;9;39796615
31753451;31753401;119;40677607
31753451;31753401;16;41130283
31753451;31753583;46;41130284
31753452;31753258;78;40381488
31753452;31753396;16;40684482
31753452;31753591;76;40381491
31753457;31753576;41;40621284
31753467;31753598;49;40381476
31753478;31753545;24;39796616
31753483;31753221;59;39929485
31753483;31753491;37;40084318
31753483;31753626;42;39929488
31753491;31753758;263;40084319
31753494;31753299;80;41952364
31753495;31753147;80;39966254
31753495;31753441;30;40804201
31753495;31753537;44;40804202
31753513;31753082;176;40392236
31753513;31753082;174;40164756
31753528;31753494;78;40392193
31753528;31753565;15;40392197
31753537;31753309;59;39966262
31753537;31753495;44;40804203
31753537;31753576;31;40804204
31753539;31753750;77;39796399
31753544;31753936;160;40807468
31753545;31753573;6;40342148
31753553;31756907;1038;40480895
31753565;31753528;15;40392198
31753565;31753815;80;40392199
31753573;31753615;18;40383271
31753573;31753688;32;40244322
31753576;31753457;41;40621283
31753576;31753537;31;40804205
31753576;31753751;51;40804206
31753583;31753451;46;41130285
31753591;31753396;80;40381482
31753591;31753452;76;40381490
31753591;31753689;33;40381485
31753598;31753651;65;41028132
31753598;31753748;48;40381477
31753603;31753636;13;41956365
31753603;31753885;88;41087667
31753606;31755963;884;39941688
31753608;31753708;35;40392195
31753615;31753573;18;40383272
31753615;31753603;75;41087666
31753615;31753712;28;40383273
31753626;31753483;42;39929487
31753626;31753854;60;39929490
31753637;31753750;62;40621208
31753651;31753583;20;41028131
31753669;31753494;91;41952365
31753669;31753715;109;40586870
31753688;31753712;34;41087672
31753688;31754078;190;40244323
31753689;31753513;55;40392237
31753689;31753591;33;40381484
31753708;31753815;55;40392842
31753712;31753615;28;40383274
31753712;31753688;34;41087671
31753712;31753836;40;40383275
31753715;31753789;27;40586871
31753727;31753715;12;41956362
31753748;31754140;165;40164770
31753750;31753539;77;39796398
31753750;31753637;62;40621207
31753750;31753869;59;39796401
31753751;31753576;51;40804207
31753751;31753805;21;40804208
31753751;31753837;22;39966256
31753753;31753773;179;41038703
31753758;31756751;1319;41038702
31753760;31752973;366;40381473
31753773;31754033;282;41038704
31753773;31754139;167;40084315
31753774;31754469;207;42047778
31753777;31754066;81;41216619
31753787;31753758;407;41220405
31753789;31753948;51;40586872
31753805;31753751;21;40804209
31753805;31753837;19;39966260
31753805;31753869;41;40804210
31753811;31753789;14;41956361
31753815;31753565;122;40932038
31753815;31753565;80;40392200
31753815;31753708;55;40392843
31753815;31753832;4;40392201
31753832;31753815;4;40392202
31753832;31753948;51;40932029
31753836;31753712;40;40383276
31753836;31753874;11;40383277
