id1;id2;dist;edge_id
27558821;27559103;96;38840066
27558856;27559109;72;38900607
27558912;27558867;11;38052531
27558912;27558868;13;38842173
27558944;27559053;39;37520655
27559053;27559081;13;37520654
27559053;27559745;156;37498394
27559081;27559095;15;37520653
27559083;27558912;47;38842172
27559095;27558893;67;38230252
27559095;27559169;47;37497878
27559103;27558821;96;38840065
27559103;27559106;19;38840087
27559103;27559156;27;38840084
27559106;27559103;19;38840088
27559106;27559109;20;38840085
27559106;27559208;24;38840061
27559109;27558856;72;38900606
27559109;27559106;20;38840086
27559109;27559208;27;38900605
27559132;27559176;13;38124271
27559156;27559103;27;38840083
27559156;27559300;41;38840082
27559156;27559569;176;38840080
27559161;27559176;111;38126207
27559169;27559218;33;37497877
27559169;27559866;154;37498363
27559176;27559132;13;38124270
27559176;27559161;111;38126206
27559176;27559219;9;38124269
27559208;27559106;24;38840062
27559208;27559109;27;38900604
27559208;27559300;36;38900603
27559218;27559083;69;37498403
27559218;27559365;84;37497876
27559219;27559176;9;38124268
27559219;27559496;166;37498388
27559219;27559537;73;37498402
27559287;27559496;47;37498844
27559300;27559156;41;38840081
27559300;27559208;36;38900602
27559300;27559761;204;38900601
27559365;27559856;216;37498763
27559365;27560047;153;37498365
27559496;27559219;166;37498387
27559496;27559287;47;37498843
27559496;27559600;25;37498375
27559496;27559745;142;37498386
27559537;27559219;73;37498401
27559537;27559600;168;38126176
27559537;27559778;49;37498400
27559569;27559156;176;38840079
27559569;27559761;41;38840072
27559569;27559813;85;38840078
27559600;27559496;25;37498376
27559600;27559537;168;38126175
27559600;27559853;49;37498373
27559703;27559791;16;39558900
27559709;27560322;138;38840058
27559745;27559496;142;37498385
27559745;27559767;12;37498384
27559745;27559818;18;37498393
27559754;27559492;341;37917531
27559754;27559915;52;38879290
27559761;27559300;204;38900600
27559761;27559569;41;38840071
27559761;27559813;28;38900599
27559767;27559081;155;37498398
27559767;27559745;12;37498383
27559767;27559787;11;37498382
27559778;27559537;49;37498399
27559778;27559754;233;37917530
27559778;27559853;168;37498369
27559787;27559767;11;37498381
27559787;27559866;52;37498380
27559791;27560282;112;37519370
27559799;27559915;25;38879297
27559812;27559951;29;38879295
27559813;27559569;85;38840077
27559813;27559761;28;38900598
27559813;27560082;137;38900597
27559818;27559853;154;37498368
27559818;27559949;27;37498392
27559853;27559600;49;37498374
27559853;27559778;168;37498370
27559853;27559818;154;37498367
27559853;27560365;115;37498371
27559856;27560217;81;38126193
27559856;27560482;322;37498762
27559866;27559169;154;37498364
27559866;27559787;52;37498379
27559866;27560047;115;37498378
27559915;27559754;52;38879291
27559915;27559799;25;38879296
27559915;27559951;26;38879288
27559947;27560603;135;38229564
27559949;27560016;58;38879305
27559949;27560997;244;37498391
27559951;27559812;29;38879294
27559951;27559915;26;38879289
27559951;27560365;326;38879286
27560016;27559949;58;38879304
27560016;27560025;21;38879300
27560016;27560237;55;38879303
27560021;27560148;61;38880687
27560025;27560016;21;38879301
27560025;27560030;14;38879298
27560025;27560199;38;38879292
27560030;27560025;14;38879299
27560047;27559365;153;37498366
27560047;27559866;115;37498377
27560047;27560190;33;38230253
27560067;27560148;59;37591938
27560082;27559813;137;38900596
27560082;27560322;243;38840075
27560082;27560431;205;38900595
27560103;27560113;72;38895997
27560113;27560103;72;38895996
27560113;27560287;211;38881486
27560113;27560371;52;38895995
27560148;27560021;61;38880686
27560148;27560067;59;37591939
27560148;27560680;102;37591936
27560184;27560806;117;38124570
27560190;27560222;83;38230254
27560190;27560255;84;37917534
27560199;27560025;38;38879293
27560205;27560277;17;38880680
27560217;27559856;81;38126192
27560217;27560279;196;38126194
27560217;27560337;26;38126191
27560222;27560047;81;37520656
27560222;27560333;146;37917544
27560237;27560016;55;38879302
27560241;27559787;112;37917535
27560241;27560996;206;39752123
27560255;27560334;33;37917532
27560255;27560486;51;39758575
27560262;27560277;52;38880685
27560277;27560205;17;38880681
27560277;27560262;52;38880684
27560277;27560299;53;38880683
27560279;27560217;196;38126195
27560282;27560460;37;39558904
27560282;27560465;50;38553702
27560287;27560113;211;38881485
27560287;27560407;29;38216655
27560293;27560956;119;38813260
27560299;27560277;53;38880682
27560322;27559709;138;38840057
27560322;27560082;243;38840076
27560322;27560431;22;38840056
27560325;27560484;31;37687607
27560328;27560484;37;37691962
27560333;27560222;146;37917545
27560333;27560337;6;37917542
27560333;27560708;72;38126247
27560334;27560241;22;37917533
27560334;27560649;73;38126204
27560337;27560217;26;38126190
27560337;27560333;6;37917543
27560337;27560385;39;37917540
27560346;27560287;54;38216656
27560346;27560789;313;37604938
27560348;27560792;103;37692135
27560357;27559693;147;39227698
27560365;27559853;115;37498372
27560365;27559951;326;38879287
27560366;27560416;9;37852087
27560371;27560113;52;38895994
27560377;27560391;14;37692142
27560378;27560601;51;37852085
27560385;27560337;39;37917541
27560385;27560459;16;38874925
27560385;27560513;139;37917538
27560391;27560377;14;37692141
27560391;27560463;105;37692140
27560391;27560665;78;37852083
27560407;27560346;21;38216654
27560407;27560718;61;38216660
27560416;27560366;9;37852086
27560416;27560572;40;37852073
27560416;27560754;96;37852081
27560419;27560421;0;37852092
27560421;27560419;0;37852093
27560429;27560452;49;39752156
27560431;27560082;205;38900594
27560431;27560322;22;38840055
27560431;27566323;2394;38900593
27560437;27560710;126;37692130
27560452;27560357;25;38553700
27560452;27560457;24;39558886
27560457;27560357;21;39558907
27560457;27560460;12;39227689
27560459;27560385;16;38874924
27560459;27560768;55;38874929
27560460;27560465;22;39558891
27560460;27560571;23;39227697
27560463;27560391;105;37692139
27560463;27560489;49;37852088
27560465;27560564;193;39227691
27560475;27560521;105;37515762
27560478;27560578;19;39657400
27560482;27560694;38;37545468
27560482;27560824;218;37498761
27560484;27560328;37;37691961
27560484;27561145;105;37687606
27560486;27560255;51;39758576
27560486;27560534;20;38879105
27560486;27561303;180;39758573
27560489;27560463;49;37852089
27560490;27560823;58;37750818
27560491;27560823;58;37562711
27560499;27560578;128;39657397
27560507;27559083;651;38842171
27560507;27560482;55;37545469
27560510;27560576;183;37515767
27560511;27560429;153;37804018
27560511;27560475;186;38854229
27560513;27560385;139;37917539
27560513;27560542;34;37545329
27560513;27560688;32;38126202
27560521;27560564;159;39558889
27560523;27560665;141;37852091
27560534;27560486;20;38879104
27560542;27560513;34;37545330
27560542;27560694;105;37545327
27560542;27561258;110;38126238
27560550;27560510;105;37515768
27560556;27560576;203;39227692
27560564;27560603;76;37515764
27560565;27560457;23;39227696
27560565;27560556;27;39558890
27560571;27560565;11;39227690
27560571;27560687;20;39558901
27560572;27560416;40;37852072
27560572;27560601;6;37852071
27560572;27560837;75;37852075
27560576;27560850;149;38854231
27560578;27560478;19;39657399
27560578;27560499;128;39657398
27560578;27560594;18;39657395
27560583;27560571;27;39558892
27560583;27560687;27;38553703
27560594;27560578;18;39657396
27560594;27560613;16;39657393
