id1;id2;dist;edge_id
27305303;27310569;618;39409819
27308208;27310446;258;38164207
27309381;27311928;241;39409814
27309530;27309930;79;39062721
27309930;27309530;79;39062720
27309930;27310578;70;39698030
27310446;27308208;258;38164208
27310446;27310569;12;38942335
27310569;27305303;618;39409818
27310569;27310446;12;38942336
27310569;27311639;115;38942333
27310578;27309930;70;39698029
27310578;27310706;19;39698028
27310578;27310848;31;37625180
27310706;27310578;19;39698027
27310706;27310738;3;39698026
27310706;27310848;27;39061729
27310738;27310706;3;39698025
27310738;27310934;23;37781676
27310793;27313265;241;37625158
27310848;27310738;28;39061728
27310934;27310738;23;37781675
27310934;27312648;184;38942842
27311639;27310569;115;38942334
27311639;27314092;319;38164216
27311639;27314686;451;39714393
27311928;27313955;215;39409816
27311958;27309412;241;39409817
27312107;27313265;162;37625154
27312298;27313243;264;39409811
27312648;27310934;184;38942841
27312648;27313156;61;38942840
27312984;27313105;42;39485756
27312984;27313348;152;39485755
27312984;27313473;113;39485279
27313105;27312984;42;39485757
27313105;27313498;46;39485903
27313105;27313607;94;39485902
27313156;27312648;61;38942839
27313156;27313672;82;37625166
27313156;27313678;94;38942838
27313243;27312298;264;39409810
27313243;27313886;79;38819000
27313265;27310793;241;37625157
27313265;27312107;162;37625153
27313265;27313794;55;37625156
27313348;27312984;152;39485754
27313348;27313473;31;39485137
27313348;27314827;242;39485130
27313473;27312984;113;39485280
27313473;27313348;31;39485136
27313473;27313697;55;39485135
27313498;27313105;46;39485904
27313498;27313697;96;39485833
27313498;27313820;47;39485832
27313607;27313105;94;39485901
27313607;27314186;69;39485678
27313607;27314700;145;39485900
27313672;27313156;82;37625167
27313678;27313156;94;38942837
27313678;27313794;27;38942836
27313697;27313473;55;39485134
27313697;27313498;96;39485834
27313697;27313730;15;39485622
27313697;27314310;88;39485578
27313730;27313697;15;39485623
27313730;27314623;110;39485620
27313730;27314623;130;39485770
27313794;27313265;55;37625155
27313794;27313678;27;38942835
27313794;27313889;23;38942834
27313820;27313498;47;39485831
27313820;27314186;43;39485830
27313820;27314310;59;39485579
27313886;27313243;79;38819001
27313889;27313794;23;38942833
27313955;27315151;149;39409815
27313955;27315995;290;37741384
27314028;27314092;126;39485010
27314045;27314370;81;37625130
27314092;27311639;319;38164215
27314092;27314028;126;39485011
27314092;27314405;49;39485843
27314092;27316184;255;38164214
27314130;27311958;225;37741373
27314186;27313607;69;39485679
27314186;27313820;43;39485829
27314186;27314484;42;39485676
27314186;27314700;64;39485828
27314310;27313697;88;39485577
27314310;27313820;59;39485580
27314310;27314484;36;39485801
27314310;27314574;42;39485800
27314370;27314045;81;37625129
27314370;27314686;60;37796577
27314405;27314092;49;39485844
27314405;27314816;49;39485811
27314405;27314914;93;39485841
27314484;27314186;42;39485677
27314484;27314310;36;39485802
27314484;27314795;65;39485797
27314484;27314857;56;39485674
27314574;27314310;42;39485799
27314574;27314827;38;39485796
27314574;27314857;34;39485399
27314623;27313730;130;39485771
27314623;27313730;110;39485621
27314686;27311639;451;39714394
27314686;27314370;60;37796578
27314686;27314877;32;37796575
27314686;27316548;229;37625135
27314700;27313607;145;39485899
27314700;27314186;64;39485827
27314700;27314795;16;39485133
27314700;27314877;19;39485206
27314795;27314484;65;39485798
27314795;27314700;16;39485132
27314795;27315264;79;39485127
27314816;27314405;49;39485812
27314816;27315270;55;39485809
27314816;27316205;148;39485588
27314827;27313348;242;39485131
27314827;27314574;38;39485795
27314827;27315116;35;39485128
27314857;27314484;56;39485675
27314857;27314574;34;39485400
27314857;27315067;31;39485397
27314857;27315116;46;39485672
27314877;27314686;32;37796576
27314877;27314700;19;39485205
27314877;27315857;162;37796573
27314914;27314405;93;39485842
27315067;27314857;31;39485398
27315116;27314827;35;39485129
27315116;27314857;46;39485673
27315116;27315264;115;39485124
27315117;27315264;21;39485334
27315151;27317472;292;37741371
27315227;27314130;144;37741368
27315264;27314795;79;39485126
27315264;27315116;115;39485125
27315264;27315117;21;39485333
