id1,id2,dist
0,213,7
0,244,3
0,37,4
0,252,4
0,451,20
1,60,11
1,219,14
2,144,11
2,397,5
2,223,9
2,497,16
2,499,16
2,332,3
3,146,2
3,28,7
3,326,7
4,449,17
4,353,6
4,421,1
4,17,20
5,189,13
5,426,11
5,312,5
5,101,16
5,444,4
6,256,16
6,421,13
6,393,14
6,428,6
6,138,19
6,135,9
7,314,4
7,398,19
7,201,4
8,207,16
8,319,5
8,43,16
8,131,4
8,422,18
9,237,6
9,436,9
9,329,10
9,249,9
9,251,18
9,381,9
9,44,12
10,219,17
10,260,17
10,258,9
10,334,13
10,35,2
11,199,4
11,290,18
11,397,20
11,159,16
11,344,8
11,159,10
11,17,11
12,286,3
12,256,2
12,186,19
12,460,4
12,357,11
12,91,5
12,405,19
13,341,20
13,429,12
13,473,15
13,123,20
13,357,2
13,369,14
13,291,7
14,167,20
14,142,11
14,254,7
14,394,1
14,96,10
14,402,6
14,267,4
15,252,11
15,282,20
15,346,4
16,248,10
16,199,20
16,417,4
16,233,7
17,412,11
17,478,16
17,363,11
17,167,19
17,390,19
17,404,9
17,110,3
18,216,2
18,201,6
18,224,4
18,302,18
18,435,19
18,142,8
18,28,11
18,378,3
18,273,19
19,208,5
19,103,17
19,363,13
19,210,8
19,173,5
19,301,20
20,485,13
20,461,13
21,471,16
21,310,7
21,437,6
22,119,12
22,465,1
22,79,3
22,56,1
22,304,12
22,473,15
22,170,14
22,147,15
22,155,4
22,104,9
23,408,2
23,263,11
23,32,20
23,87,16
23,166,3
23,349,13
23,168,3
23,409,2
23,140,11
24,324,8
24,324,6
24,334,14
24,97,15
24,169,14
24,429,6
24,293,18
25,128,11
25,346,8
26,62,8
26,117,17
26,129,16
26,42,8
26,280,17
27,460,3
27,134,19
27,283,10
27,87,15
27,409,14
28,355,6
28,439,4
28,287,10
28,343,18
28,176,4
28,67,7
28,328,4
29,214,9
30,90,11
30,323,4
30,459,17
31,437,3
31,43,8
31,212,10
31,156,4
31,494,20
31,495,13
31,198,8
31,151,9
31,73,1
32,179,15
32,248,11
32,424,5
32,48,10
32,120,14
32,107,4
32,134,6
32,297,13
32,109,12
32,404,2
32,152,1
32,421,1
33,152,4
33,487,18
33,127,1
33,158,6
34,369,4
34,205,3
34,136,14
34,273,6
34,50,6
34,486,14
34,102,18
34,125,2
34,412,3
35,491,16
35,441,11
35,39,5
35,345,1
35,457,8
35,339,2
35,67,10
35,54,4
35,344,3
35,51,20
35,288,11
36,97,4
36,324,10
36,213,1
36,138,13
36,492,12
36,451,7
38,493,11
38,408,7
38,415,9
38,212,3
38,296,14
38,134,3
38,57,11
39,282,11
39,213,2
39,392,1
39,246,20
39,143,13
39,55,8
40,494,8
40,279,7
40,426,11
40,243,11
40,82,3
41,227,16
41,236,16
41,130,15
41,388,11
41,303,3
42,271,14
42,440,7
42,147,13
43,251,2
43,230,12
43,202,19
43,357,10
44,321,11
44,420,13
44,101,16
44,314,6
45,434,19
45,444,8
45,378,16
45,171,10
46,315,11
46,212,9
46,334,2
47,192,8
47,339,17
47,254,1
47,485,7
48,425,6
48,355,20
48,455,7
48,245,14
48,310,1
48,250,13
49,236,15
49,435,20
49,449,20
50,487,15
50,349,12
50,482,19
50,422,3
51,496,4
51,409,3
52,84,1
52,371,12
52,212,13
52,440,14
52,355,3
52,298,8
52,460,11
53,416,8
53,134,19
53,281,10
53,467,20
53,84,19
53,286,8
54,308,12
55,92,18
55,356,10
55,300,1
55,479,15
55,198,15
55,448,19
55,284,7
55,425,7
55,214,11
56,159,10
56,280,17
56,315,14
56,354,19
56,350,12
56,247,2
57,357,16
57,490,6
57,119,11
57,137,14
57,448,15
57,289,20
57,462,3
58,387,12
58,296,1
58,331,13
58,484,16
59,425,13
59,331,2
59,470,4
59,323,18
59,317,15
60,493,14
60,148,10
60,136,3
61,158,15
61,166,7
61,322,11
61,472,4
62,93,1
62,248,4
62,381,9
62,175,10
62,155,6
62,119,3
63,480,17
63,405,1
63,278,6
63,354,10
64,458,16
64,295,9
64,435,4
64,189,10
64,319,5
65,374,19
65,183,6
65,291,12
65,364,1
65,166,10
66,347,11
66,123,2
66,474,14
66,479,8
66,274,2
67,254,4
67,310,5
67,274,15
67,379,7
67,355,18
67,162,18
67,472,3
67,268,5
67,277,3
67,265,19
67,265,17
68,134,12
68,189,13
69,104,13
69,292,10
69,442,4
70,447,1
70,478,13
70,479,14
70,173,12
70,253,12
70,337,11
70,458,12
70,293,13
70,84,14
70,407,9
71,256,15
71,141,7
71,417,7
71,363,7
71,381,20
71,450,4
71,452,8
71,80,8
72,458,1
72,422,11
72,323,4
72,470,6
72,174,14
72,491,11
72,161,8
73,136,19
73,81,8
73,202,20
73,254,10
73,216,2
73,272,11
74,101,10
74,454,6
74,224,6
75,104,4
75,388,10
75,128,14
76,415,20
76,361,10
76,101,5
76,414,16
76,366,2
76,236,6
76,322,11
77,349,12
77,434,18
77,491,5
77,452,10
77,390,3
77,458,4
78,461,8
78,113,5
78,250,12
78,192,3
78,320,8
79,382,10
79,351,3
79,186,4
79,344,18
79,134,6
79,178,14
79,116,2
80,361,20
80,216,1
80,218,2
80,195,9
80,417,10
81,163,6
81,412,19
81,498,19
81,85,8
82,374,16
82,385,12
83,93,14
83,417,17
83,272,16
83,261,15
83,89,14
83,256,11
83,377,9
83,91,11
84,433,6
84,286,18
85,144,8
85,402,20
85,267,7
85,328,19
85,384,18
86,464,13
86,293,5
86,375,5
86,167,15
86,186,14
87,318,7
87,471,1
87,117,10
87,260,14
88,458,11
88,376,19
88,475,17
89,119,2
89,203,5
89,267,16
90,477,7
90,254,17
90,150,16
90,229,3
90,321,13
90,465,15
91,142,16
91,151,15
91,368,16
92,300,17
92,432,17
92,467,17
92,456,5
93,167,3
93,101,2
93,450,5
95,395,10
95,128,4
95,119,3
95,386,17
95,203,6
95,477,10
96,182,13
96,366,9
96,374,17
96,410,16
96,452,2
96,177,14
96,113,15
97,425,17
97,164,13
97,196,8
98,170,20
98,490,18
98,158,2
99,329,2
99,384,1
100,195,11
100,498,7
100,412,19
100,121,11
100,203,19
100,161,20
101,470,8
101,219,10
101,190,17
101,440,8
101,208,18
101,280,6
102,443,14
102,253,7
102,276,17
102,490,16
102,333,18
103,152,19
103,390,19
103,346,5
103,355,1
103,247,20
103,443,7
104,318,17
104,489,17
104,267,13
104,442,8
104,273,4
105,346,8
105,464,19
105,452,18
105,189,19
105,357,19
106,137,7
106,381,14
106,222,14
106,118,19
106,206,2
106,195,17
106,233,14
106,402,15
107,471,20
107,160,10
107,293,7
107,474,14
107,278,10
107,336,15
107,322,2
108,443,8
108,241,5
108,487,16
108,418,9
108,373,2
108,321,3
108,358,7
108,340,18
109,234,1
109,371,3
109,341,17
109,129,20
109,188,8
109,493,11
109,391,19
109,244,9
109,450,3
109,432,14
110,171,17
110,143,10
110,370,2
111,382,7
111,207,2
111,213,7
112,387,1
112,245,15
112,251,16
112,244,12
112,279,3
112,368,8
113,277,14
113,136,16
113,463,15
114,214,15
114,173,18
114,358,11
114,438,3
114,123,14
114,164,18
115,194,6
115,411,16
115,236,1
115,417,15
116,313,17
116,169,15
116,220,11
116,447,3
116,270,7
117,205,5
117,356,19
117,351,4
118,148,20
118,127,2
118,126,1
118,366,17
118,129,11
118,491,1
118,307,12
119,368,10
119,197,16
120,131,4
120,212,2
120,265,2
120,196,10
120,393,8
121,197,14
121,499,15
121,449,3
122,424,12
122,185,14
122,315,8
122,154,11
122,226,19
122,154,12
122,271,15
122,454,7
123,494,10
123,315,7
123,467,11
124,487,15
124,480,20
124,357,17
124,236,20
125,175,6
125,257,7
125,380,5
126,321,5
126,343,1
126,269,11
126,131,17
126,287,10
126,144,13
127,405,18
127,196,5
127,180,2
127,149,17
127,487,2
127,190,19
127,283,6
128,284,14
128,494,8
128,337,9
129,306,16
129,444,14
129,323,16
129,195,11
129,455,13
129,304,12
129,176,10
129,283,2
130,266,14
130,264,1
130,318,9
130,443,9
130,469,12
130,346,6
130,328,17
130,362,9
131,355,20
131,285,3
131,344,18
131,195,9
131,236,2
131,137,7
131,476,18
132,492,4
132,281,7
132,290,5
133,326,15
133,422,6
133,232,2
133,285,12
133,458,10
134,321,3
134,281,13
134,348,13
134,496,11
134,414,6
134,276,9
135,236,13
135,451,7
135,178,3
135,240,18
136,310,8
136,298,18
136,280,15
137,275,6
137,493,17
137,142,18
137,402,19
137,424,4
137,263,18
137,388,5
138,478,4
138,417,16
138,308,1
138,196,4
138,383,9
138,193,6
138,300,19
138,296,2
139,211,1
139,390,19
140,362,1
140,152,14
140,470,7
140,195,12
140,351,4
140,345,1
140,426,18
141,176,9
141,170,6
142,149,10
142,444,20
142,494,5
142,174,19
142,483,11
143,359,18
143,412,20
144,483,17
144,479,20
144,209,11
144,489,2
145,196,11
145,340,16
145,434,15
145,306,17
146,294,16
146,471,4
146,401,16
146,413,2
146,432,13
146,217,18
147,339,16
147,323,8
147,433,12
147,392,2
147,370,14
148,192,16
148,292,10
148,441,20
148,288,20
148,398,4
148,405,10
148,407,10
149,296,6
149,365,15
149,221,18
149,162,7
149,297,16
149,381,8
149,498,17
150,216,5
150,336,7
150,369,14
150,207,7
151,289,18
151,376,14
151,384,10
151,255,2
151,193,9
151,463,13
151,230,2
152,260,5
152,475,17
152,310,9
153,289,18
153,158,11
153,232,2
153,185,17
154,475,7
154,403,18
154,356,6
154,460,2
154,222,10
155,265,16
155,329,13
156,455,7
156,335,13
156,487,20
156,469,20
156,188,4
156,252,13
156,347,19
156,469,19
157,218,14
158,212,2
158,331,4
158,304,15
159,460,20
159,312,13
160,296,18
160,425,1
160,382,12
160,413,4
160,221,11
160,423,16
160,396,12
161,469,12
161,444,17
161,270,3
161,304,16
161,303,14
161,179,14
161,383,3
162,217,10
162,335,20
162,178,14
162,300,5
163,320,5
163,235,6
163,366,1
164,174,12
164,358,12
164,481,10
164,452,10
165,303,6
165,447,12
165,185,19
165,363,5
166,219,14
166,427,9
166,380,8
167,248,9
167,343,2
168,405,15
168,196,3
168,382,3
168,368,15
168,178,19
168,217,11
168,276,14
169,407,7
169,437,8
169,246,1
170,420,16
170,300,16
170,334,17
170,209,4
171,238,19
171,196,16
171,240,13
172,286,14
172,363,10
172,473,14
172,215,9
173,246,19
173,330,5
173,483,12
173,263,2
174,413,11
174,444,18
175,380,11
175,462,11
175,398,18
175,223,11
176,349,10
176,189,17
177,257,4
177,430,4
177,228,8
177,267,7
178,246,7
178,456,12
178,179,8
178,300,11
179,320,19
179,290,3
179,429,10
179,223,15
180,295,1
180,482,8
180,232,10
180,221,9
180,198,2
180,430,4
180,192,5
181,391,14
181,422,10
181,456,20
182,465,13
182,423,9
182,428,18
182,245,6
182,299,19
183,257,8
183,211,7
183,472,17
183,258,6
184,198,6
184,356,18
184,478,18
184,326,2
184,398,16
185,248,8
185,240,11
185,286,9
186,344,20
186,292,16
186,215,12
186,321,3
187,409,18
187,376,20
187,408,14
187,388,14
187,434,1
188,317,5
188,267,1
188,315,14
189,409,16
189,318,1
190,261,16
190,351,3
190,426,5
190,486,13
191,217,20
191,388,19
191,443,6
191,482,4
193,343,2
193,432,20
194,397,1
194,203,7
194,443,4
195,339,12
195,447,20
196,493,9
196,223,18
196,395,5
196,329,17
197,334,17
197,451,15
197,239,9
198,276,20
198,250,2
198,489,17
198,274,10
198,260,12
198,225,11
199,426,6
200,495,15
200,409,1
201,322,1
201,446,12
201,271,18
201,308,10
202,436,13
202,442,10
202,466,7
203,262,12
204,352,7
204,478,11
204,261,13
204,263,11
204,416,7
205,325,6
205,406,1
205,217,11
205,466,7
205,338,14
205,308,16
206,314,5
206,351,17
206,248,14
206,301,14
206,380,20
207,294,14
207,309,8
207,223,18
207,409,2
208,379,2
208,448,7
209,406,10
209,243,12
209,236,19
209,248,2
209,259,7
210,480,6
210,353,3
210,379,3
210,331,13
211,434,16
211,431,15
212,242,8
212,399,6
213,490,12
213,344,16
214,284,9
214,490,12
214,450,8
214,273,3
214,475,11
214,476,6
215,379,15
215,267,13
215,453,4
215,461,20
215,226,9
216,250,14
216,220,8
216,281,4
216,318,13
216,446,14
217,363,19
217,353,11
218,402,19
218,497,16
218,251,19
219,440,14
219,226,16
219,374,8
220,344,15
220,262,2
220,346,2
220,262,7
220,324,11
221,228,18
221,265,16
221,340,1
221,440,9
222,495,10
222,302,3
222,474,15
222,264,16
222,401,11
223,462,1
223,491,2
223,272,14
224,413,5
224,468,3
224,424,17
224,380,20
225,405,4
225,350,14
225,480,4
225,274,5
225,429,16
225,326,2
225,262,15
226,425,5
227,270,5
228,362,9
228,370,17
228,244,5
228,455,1
228,265,15
228,472,15
228,378,16
229,345,20
229,357,19
229,235,13
230,315,2
230,498,4
230,318,16
230,358,12
230,486,10
230,496,1
231,413,8
231,337,2
231,474,14
232,322,6
232,311,3
234,322,10
235,436,15
235,447,20
235,326,5
235,389,19
